交易編號,會員卡號,店號,交易日期,小分類名稱,貨號,貨名,數量,售價,金額,總金額,,,1/1/10
536,569,1023,00980331,210202  ,0000010075226,台灣台糖胡蘿蔔600g                      ,1,69.00,69,910,,,
536,569,1023,00980331,210301  ,0000000003414,台灣冬瓜                                ,1,39.00,39,910,,,
536,569,1023,00980331,210301  ,0000000003389,台灣玉米條(清)                          ,1,37.00,37,910,,,
536,569,1023,00980331,210301  ,0000010041708,台灣阿里山紅牛蕃茄                      ,1,45.00,45,910,,,
536,569,1023,00980331,210301  ,0000000003418,台灣茄子                                ,1,29.00,29,910,,,
536,569,1023,00980331,210602  ,0000010066593,台灣方便煮~ 黃豆菜                      ,1,35.00,35,910,,,
536,569,1023,00980331,210702  ,0000010001179,紅豆400G                                ,1,59.00,59,910,,,
536,569,1023,00980331,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,910,,,
536,569,1023,00980331,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,910,,,
537,569,1023,00980422,210101  ,0000010001065,台灣A仔菜                               ,1,9.00,9,761,,,
537,569,1023,00980422,210201  ,0000000003453,台灣洋蔥                                ,1,35.00,35,761,,,
537,569,1023,00980422,210302  ,0000000003387,台灣花椰菜                              ,1,26.00,26,761,,,
537,569,1023,00980422,210401  ,0000010067597,台灣日本種小杏鮑菇                      ,1,38.00,38,761,,,
537,569,1023,00980422,210602  ,0000010066593,台灣方便煮~ 黃豆菜                      ,1,31.00,31,761,,,
537,569,1023,00980422,310807  ,0000030002188,台塑混合蔬菜-600g                       ,1,55.00,55,761,,,
537,569,1023,00980422,311001  ,0000010045048,古早蛋(10粒)-L                          ,1,76.00,76,761,,,
537,569,1023,00980422,410501  ,0000030008363,海底雞鮪魚片(黑胡椒檸檬)170g            ,1,53.00,53,761,,,
537,569,1023,00980422,510806  ,0000010030318,99元均一品(日用品)                      ,1,89.00,89,761,,,
537,569,1023,00980422,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,761,,,
538,569,1023,00980518,210501  ,0000000001882,台灣九層塔                              ,1,18.00,18,421,,,
538,569,1023,00980518,210702  ,0000010001179,紅豆400G                                ,1,52.00,52,421,,,
538,569,1023,00980518,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,421,,,
538,569,1023,00980518,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,421,,,
539,569,1023,00980615,410206  ,0000010006665,小磨坊白胡椒粉45G                       ,1,46.00,46,395,,,
539,569,1023,00980615,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,395,,,
540,569,1023,00980616,410206  ,0000010006665,小磨坊白胡椒粉45G                       ,1,46.00,46,438,,,
540,569,1023,00980616,410207  ,0000010006611,味滋康沙拉醬芥茉醬油150ML(恩)           ,1,59.00,59,438,,,
540,569,1023,00980616,410605  ,0000010008139,五木關東麵-375g                         ,1,42.00,42,438,,,
540,569,1023,00980616,410607  ,0000010008494,龍口小寬粉-4束180G                      ,1,52.00,52,438,,,
540,569,1023,00980616,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,438,,,
540,569,1023,00980616,530101  ,0000010021565,池農池上米-5kg                          ,-1,349.00,-349,438,,,
540,569,1023,00980616,530103  ,0000010039509,多力有機白米2Kg                         ,1,239.00,239,438,,,
541,569,1023,00980804,410201  ,0000010006553,金蘭甘醇油膏590ml                       ,1,42.00,42,393,,,
541,569,1023,00980804,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,393,,,
541,569,1023,00980804,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,393,,,
542,569,1023,00980820,411301  ,0000010061160,黑松沙士(易)-330ml*6入                  ,1,75.00,75,424,,,
542,569,1023,00980820,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,424,,,
543,569,1023,00981109,411301  ,0000030009605,黑松加鹽沙士鋁罐330ml                   ,1,15.00,15,229,,,
543,569,1023,00981109,411301  ,0000030009605,黑松加鹽沙士鋁罐330ml                   ,1,15.00,15,229,,,
543,569,1023,00981109,530101  ,0000010078770,池農良質米-3KG                          ,1,199.00,199,229,,,
544,569,1023,00990223,310601  ,0000010003418,中華有機豆腐                            ,1,23.00,23,506,,,
544,569,1023,00990223,311001  ,0000010045048,古早蛋(10粒)-L                          ,1,85.00,85,506,,,
544,569,1023,00990223,530101  ,0000010078770,池農良質米-3KG                          ,1,199.00,199,506,,,
544,569,1023,00990223,530101  ,0000010078770,池農良質米-3KG                          ,1,199.00,199,506,,,
545,569,1023,00990402,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,349,,,
546,569,1023,00990605,510902  ,0000030008175,向日葵流行浴帽                          ,1,69.00,69,447,,,
546,569,1023,00990605,530101  ,0000010078770,池農良質米-3KG                          ,1,189.00,189,447,,,
546,569,1023,00990605,530101  ,0000010078770,池農良質米-3KG                          ,1,189.00,189,447,,,
547,569,1023,00990703,210501  ,0000000004572,台灣蒜頭                                ,1,69.00,69,586,,,
547,569,1023,00990703,510103  ,0000030014199,舒潔淨99盒裝面紙3層80抽*3               ,1,99.00,99,586,,,
547,569,1023,00990703,510602  ,0000010073470,廚房穩潔清潔劑-檸檬重裝500g             ,1,69.00,69,586,,,
547,569,1023,00990703,530101  ,0000010021565,池農池上米-5kg                          ,1,349.00,349,586,,,
602,355,1023,00990627,310101  ,0000010056615,林鳳營鮮奶-全脂2728ml                   ,1,172.00,172,459,,,
602,355,1023,00990627,420102  ,0000010034421,CRECO巧克力棒_100g                      ,2,29.50,59,459,,,
602,355,1023,00990627,510806  ,0000010051424,49元均一商品(塑膠品)                    ,1,49.00,49,459,,,
602,355,1023,00990627,530101  ,0000010056926,中興香米-3kg                            ,1,179.00,179,459,,,
803,406,1023,00980430,110402  ,0000010000542,小豬娘魚板90g                           ,1,78.00,78,1366,,,
803,406,1023,00980430,120103  ,0000000006148,台灣豚里肌肉片                          ,1,59.00,59,1366,,,
803,406,1023,00980430,120404  ,0000010027011,台南黑橋牌培根220g                      ,1,105.00,105,1366,,,
803,406,1023,00980430,220101  ,0000000010221,台灣香蕉                                ,1,61.00,61,1366,,,
803,406,1023,00980430,310804  ,0000010028699,義美ｅ家小館蝦仁炒飯-270g               ,1,39.00,39,1366,,,
803,406,1023,00980430,310804  ,0000010028699,義美ｅ家小館蝦仁炒飯-270g               ,2,39.00,78,1366,,,
803,406,1023,00980430,310805  ,0000010035001,義美純手工香酥抓餅芝麻-110g*5           ,1,48.00,48,1366,,,
803,406,1023,00980430,310805  ,0000010003947,讚岐冷凍烏龍麵200g*3                    ,1,78.00,78,1366,,,
803,406,1023,00980430,310805  ,0000010003771,義美家庭號饅頭(牛奶)-6粒                ,1,44.00,44,1366,,,
803,406,1023,00980430,320501  ,0000010074249,統一蜜雪蛋糕135g                        ,1,22.00,22,1366,,,
803,406,1023,00980430,410201  ,0000010006581,麵味露2倍400ml                          ,1,135.00,135,1366,,,
803,406,1023,00980430,410401  ,0000010006973,HOUSE麻婆豆腐-甜味廣式#                 ,1,82.00,82,1366,,,
803,406,1023,00980430,410404  ,0000010006705,味島野菜風味瓶52g                       ,1,90.00,90,1366,,,
803,406,1023,00980430,410505  ,0000010005246,大茂大土豆麵筋(鐵)170g                  ,1,26.00,26,1366,,,
803,406,1023,00980430,410605  ,0000010072259,金門馬家麵線500g                        ,1,95.00,95,1366,,,
803,406,1023,00980430,411301  ,0000030010647,黑松汽水搖果凍檸檬310ml                 ,1,16.00,16,1366,,,
803,406,1023,00980430,411301  ,0000030010649,黑松汽水搖果凍橘子310ml                 ,1,16.00,16,1366,,,
803,406,1023,00980430,420103  ,0000010059066,中祥自然之顏紫菜蘇打餅-140g             ,1,35.00,35,1366,,,
803,406,1023,00980430,420301  ,0000010009454,雪之屋米果-12枚                         ,1,58.00,58,1366,,,
803,406,1023,00980430,420302  ,0000010069543,品客洋芋片(洋蔥)-140g                   ,1,52.00,52,1366,,,
803,406,1023,00980430,530101  ,0000010077954,中興無洗台梗九號米-2kg                  ,1,149.00,149,1366,,,
804,406,1023,00980516,310102  ,0000010059873,光泉鮮乳1857ml                          ,1,107.00,107,1400,,,
804,406,1023,00980516,310303  ,0000010001405,開元長春鮮奶油-1公升                    ,1,166.00,166,1400,,,
804,406,1023,00980516,310601  ,0000030000183,義美湯的豆腐290g                        ,1,14.00,14,1400,,,
804,406,1023,00980516,310601  ,0000030000183,義美湯的豆腐290g                        ,1,14.00,14,1400,,,
804,406,1023,00980516,310603  ,0000010003423,東京壽司皮-32片                         ,1,92.00,92,1400,,,
804,406,1023,00980516,310605  ,0000010002400,韓國泡菜白菜(小)360g                    ,1,37.00,37,1400,,,
804,406,1023,00980516,310801  ,0000010074742,灣仔碼頭手工水餃(玉米蔬菜豬肉)450g      ,1,89.00,89,1400,,,
804,406,1023,00980516,311001  ,0000010003567,泰安洗選蛋-10粒                         ,1,42.00,42,1400,,,
804,406,1023,00980516,320101  ,0000010074239,統一營養土司370g(11片)                  ,1,26.00,26,1400,,,
804,406,1023,00980516,320101  ,0000010074239,統一營養土司370g(11片)                  ,1,26.00,26,1400,,,
804,406,1023,00980516,410201  ,0000010006581,麵味露2倍400ml                          ,1,109.00,109,1400,,,
804,406,1023,00980516,410503  ,0000010028471,綠巨人天然特甜玉米粒(易)-198g           ,1,31.00,31,1400,,,
804,406,1023,00980516,410601  ,0000030009661,統一拉麵道袋麵博多豚骨94g*4入           ,1,61.00,61,1400,,,
804,406,1023,00980516,410602  ,0000030004329,Q Cup中杯什錦鮮蔬海鮮杯麵(單入)         ,1,25.00,25,1400,,,
804,406,1023,00980516,410602  ,0000010036625,維力一度贊紅燒牛肉麵                    ,1,37.00,37,1400,,,
804,406,1023,00980516,410605  ,0000010054158,讚崎涼麵800G                            ,1,166.00,166,1400,,,
804,406,1023,00980516,420204  ,0000010061134,點六綜合豆果子                          ,1,219.00,219,1400,,,
804,406,1023,00980516,530101  ,0000010077954,中興無洗台梗九號米-2kg                  ,1,139.00,139,1400,,,
805,406,1023,00990103,120201  ,0000000006284,台灣黃金雞二節翅                        ,1,49.00,49,656,,,
805,406,1023,00990103,120201  ,0000000006284,台灣黃金雞二節翅                        ,1,49.00,49,656,,,
805,406,1023,00990103,210302  ,0000000005401,台灣青花苔                              ,1,45.00,45,656,,,
805,406,1023,00990103,210602  ,0000010064320,台灣方便煮~豆芽菜                       ,1,22.00,22,656,,,
805,406,1023,00990103,310202  ,0000010026378,活益比菲多(原味)-920ml                  ,1,59.00,59,656,,,
805,406,1023,00990103,310503  ,0000010002248,統一黃金豆豆漿900ml                     ,1,33.00,33,656,,,
805,406,1023,00990103,310505  ,0000010002171,統一純喫茶(紅茶)-960ml                  ,1,28.00,28,656,,,
805,406,1023,00990103,310505  ,0000010001977,統一純喫茶(紅茶)-480cc                  ,1,14.00,14,656,,,
805,406,1023,00990103,320103  ,0000030013013,湯種奶油土司                            ,1,45.00,45,656,,,
805,406,1023,00990103,320501  ,0000030002001,香草杯子蛋糕                            ,1,35.00,35,656,,,
805,406,1023,00990103,420103  ,0000010071577,Aji驚奇餅(蔬菜)-280g                    ,1,72.00,72,656,,,
805,406,1023,00990103,530101  ,0000010072518,三好台梗九號米-3.4KG                    ,1,205.00,205,656,,,
814,702,1023,00980805,210702  ,0000010001185,綠豆意仁-400g                           ,1,23.00,23,1346,,,
814,702,1023,00980805,310503  ,0000010039140,統一糙秈米米漿1858ml                    ,1,48.00,48,1346,,,
814,702,1023,00980805,410104  ,0000010072428,得意的一天5珍寶健康調和油2L             ,1,139.00,139,1346,,,
814,702,1023,00980805,410204  ,0000010038387,TWS沖泡冰糖240g                         ,1,22.00,22,1346,,,
814,702,1023,00980805,410502  ,0000010005114,廣達香肉醬-160g                         ,4,30.75,123,1346,,,
814,702,1023,00980805,420306  ,0000030011148,嘉禾大土豆(脫油)-200g                   ,1,47.00,47,1346,,,
814,702,1023,00980805,510404  ,0000030006294,沙威隆茶樹精油抗菌清透沐浴乳1000ml      ,1,148.00,148,1346,,,
814,702,1023,00980805,510405  ,0000030000724,舒酸碇強化琺瑯質牙膏110g                ,1,154.00,154,1346,,,
814,702,1023,00980805,510601  ,0000030002364,一匙靈亮彩濃縮洗衣精(補充包)-2.0kg      ,1,78.00,78,1346,,,
814,702,1023,00980805,510601  ,0000030002364,一匙靈亮彩濃縮洗衣精(補充包)-2.0kg      ,1,78.00,78,1346,,,
814,702,1023,00980805,510701  ,0000010037134,蟑愛呷消蟑堡-8入                        ,1,134.00,134,1346,,,
814,702,1023,00980805,520201  ,0000030010112,金牌台灣啤酒-330ml                      ,6,30.00,180,1346,,,
814,702,1023,00980805,530101  ,0000030009808,三好越光米2kg                           ,1,172.00,172,1346,,,
815,702,1023,00990215,311001  ,0000010028640,EGG冠軍紅蛋10粒                         ,1,60.00,60,396,,,
815,702,1023,00990215,410605  ,0000010033241,五木營養麵條-2kg                        ,1,149.00,149,396,,,
815,702,1023,00990215,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,396,,,
815,702,1023,00990215,530101  ,0000010077937,中興米花東台梗九號米_3kg                ,1,185.00,185,396,,,
816,702,1023,00990918,210101  ,0000000006967,台灣小白菜(裸)                          ,1,17.00,17,643,,,
816,702,1023,00990918,310503  ,0000010060605,光泉鮮豆漿1857ml                        ,1,55.00,55,643,,,
816,702,1023,00990918,410602  ,0000010008230,味味一品牛肉碗麵-180g                   ,1,48.00,48,643,,,
816,702,1023,00990918,410602  ,0000010073874,統一滿漢大餐麻辣鍋碗204g                ,1,48.00,48,643,,,
816,702,1023,00990918,410602  ,0000010008230,味味一品牛肉碗麵-180g                   ,1,48.00,48,643,,,
816,702,1023,00990918,410602  ,0000030009663,滿漢大餐珍味牛肉碗麵187g                ,1,48.00,48,643,,,
816,702,1023,00990918,410605  ,0000010033241,五木營養麵條-2kg                        ,1,149.00,149,643,,,
816,702,1023,00990918,510601  ,0000010028736,白鴿天然濃縮防霉洗衣精(補充包)2000gm    ,1,89.00,89,643,,,
816,702,1023,00990918,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,643,,,
816,702,1023,00990918,530101  ,0000010077954,中興無洗台梗九號米-2kg                  ,1,139.00,139,643,,,
817,702,1023,00991222,420306  ,0000010010022,五香大土豆200g                          ,1,58.00,58,913,,,
817,702,1023,00991222,510102  ,0000010059109,舒潔柔軟優質抽取式衛生紙110抽×8包      ,2,130.00,260,913,,,
817,702,1023,00991222,510102  ,0000030012682,舒潔拉拉弦彩抽取衛生紙110抽*8入         ,2,139.00,278,913,,,
817,702,1023,00991222,510906  ,0000010056355,MATSUSEI背心袋 10KG                     ,1,2.00,2,913,,,
817,702,1023,00991222,520201  ,0000030010112,金牌台灣啤酒-330ml                      ,6,30.00,180,913,,,
817,702,1023,00991222,530101  ,0000010044774,三好米-2KG                              ,1,135.00,135,913,,,
894,795,1023,00980527,510806  ,0000010051424,49元均一商品(塑膠品)                    ,1,44.00,44,367,,,
894,795,1023,00980527,530101  ,0000010070697,金墩池e圓米(一級品)4kg                  ,1,168.00,168,367,,,
894,795,1023,00980527,530103  ,0000030007888,蘭陽五農糙米-2KG                        ,1,155.00,155,367,,,
895,795,1023,00980903,120101  ,0000000006134,台灣豚五花肉塊帶皮                      ,1,139.00,139,1422,,,
895,795,1023,00980903,120203  ,0000000006322,台灣黃金雞土雞塊                        ,1,139.00,139,1422,,,
895,795,1023,00980903,210701  ,0000000002043,台灣碎脯                                ,1,25.00,25,1422,,,
895,795,1023,00980903,220801  ,0000000003485,美國少籽紅葡萄                          ,1,79.00,79,1422,,,
895,795,1023,00980903,220901  ,0000000010336,澳洲茂谷柑110入                         ,3,15.00,45,1422,,,
895,795,1023,00980903,220903  ,0000000002128,台灣麻豆文旦(粒)                        ,1,39.00,39,1422,,,
895,795,1023,00980903,221108  ,0000000002134,台灣龍眼                                ,1,89.00,89,1422,,,
895,795,1023,00980903,221108  ,0000000002079,台灣楊桃                                ,1,53.00,53,1422,,,
895,795,1023,00980903,310802  ,0000010041890,桂冠貢丸-430g                           ,1,95.00,95,1422,,,
895,795,1023,00980903,310805  ,0000010003774,義美黑糖芝麻包-6入                      ,1,52.00,52,1422,,,
895,795,1023,00980903,410204  ,0000010006748,台糖二砂-中1kg                          ,1,27.00,27,1422,,,
895,795,1023,00980903,410501  ,0000010005159,味全鮪魚罐(易)-150g                     ,1,47.00,47,1422,,,
895,795,1023,00980903,410501  ,0000010005155,味全紅燒鰻(易)-100g                     ,1,29.00,29,1422,,,
895,795,1023,00980903,410501  ,0000010005155,味全紅燒鰻(易)-100g                     ,1,29.00,29,1422,,,
895,795,1023,00980903,410505  ,0000030004599,味全花生麵筋120g                        ,1,10.00,10,1422,,,
895,795,1023,00980903,410505  ,0000030004599,味全花生麵筋120g                        ,1,10.00,10,1422,,,
895,795,1023,00980903,410601  ,0000010060314,統一肉燥包麵*5入                        ,1,55.00,55,1422,,,
895,795,1023,00980903,410607  ,0000010008389,虎牌虎品新竹米粉-350g                   ,1,32.00,32,1422,,,
895,795,1023,00980903,410901  ,0000010008106,力騰牌小麥胚芽-200g                     ,1,46.00,46,1422,,,
895,795,1023,00980903,411309  ,0000010025449,光泉巧克力乳200cc*6                     ,1,80.00,80,1422,,,
